LOCATION,Country,educational_attainment,life_satisfaction,support_network_quality,self_reported_health,GINI_year,GINI,internet_for_health_percent,internet_for_health_year
MEX,Mexico,37.0,6.6,80.0,66.0,2018,0.418,1.123016319,2020
TUR,Turkey,39.0,5.5,86.0,66.0,2018,0.397,3.1177,2020
PRT,Portugal,47.0,5.2,87.0,46.0,2018,0.317,10.0268,2020
BRA,Brazil,49.0,6.6,90.0,70.0,2013,0.47,12.1,2019
ESP,Spain,58.0,6.4,95.0,72.0,2018,0.33,12.751,2020
ITA,Italy,60.0,5.9,91.0,66.0,2018,0.33,8.7271,2020
CHL,Chile,65.0,6.7,84.0,57.0,2017,0.46,12.39461054,2017
GRC,Greece,72.0,5.2,82.0,74.0,2018,0.306,2.1608,2020
BEL,Belgium,75.0,6.9,92.0,75.0,2018,0.258,19.14,2020
NLD,Netherlands,77.0,7.4,90.0,76.0,2016,0.285,40.7242,2020
NZL,New Zealand,77.0,7.3,95.0,88.0,2014,0.349,21.0,2012
ISL,Iceland,78.0,7.5,98.0,76.0,2017,0.25,39.4597,2020
FRA,France,78.0,6.4,88.0,68.0,2018,0.301,12.9683,2019
LUX,Luxembourg,79.0,6.9,92.0,70.0,2018,0.318,41.0491,2020
IRL,Ireland,80.0,7.0,96.0,82.0,2018,0.292,10.4775,2020
AUS,Australia,80.0,7.3,94.0,85.0,2018,0.325,19.71,2016
GBR,United Kingdom,81.0,6.7,93.0,70.0,2019,0.366,25.4574,2020
DNK,Denmark,81.0,7.5,95.0,72.0,2017,0.264,23.8382,2020
NOR,Norway,82.0,7.5,94.0,78.0,2018,0.262,25.7325,2020
HUN,Hungary,83.0,5.3,84.0,56.0,2017,0.289,9.6088,2020
SWE,Sweden,83.0,7.3,92.0,80.0,2019,0.28,23.2107,2020
AUT,Austria,85.0,7.0,92.0,70.0,2018,0.28,16.0251,2020
DEU,Germany,86.0,7.0,92.0,65.0,2018,0.289,34.2261,2020
CHE,Switzerland,87.0,7.5,94.0,80.0,2017,0.299,46.1,2019
KOR,Korea,87.0,5.9,76.0,33.0,2018,0.345,13.50029317,2020
ISR,Israel,87.0,7.2,87.0,84.0,2018,0.348,50.0,2017
SVN,Slovenia,87.0,5.8,91.0,65.0,2018,0.249,15.3678,2020
FIN,Finland,88.0,7.5,95.0,70.0,2018,0.269,38.971,2020
EST,Estonia,89.0,5.6,90.0,51.0,2018,0.305,15.6379,2020
LVA,Latvia,89.0,5.9,86.0,46.0,2019,0.344,7.3536,2020
USA,United States,90.0,6.9,90.0,88.0,2017,0.39,7.57,2015
POL,Poland,91.0,6.0,89.0,58.0,2018,0.281,7.1422,2020
CAN,Canada,91.0,7.3,93.0,88.0,2019,0.301,37.18,2020
SVK,Slovak Republic,92.0,6.1,91.0,66.0,2018,0.236,9.133,2020
CZE,Czech Republic,93.0,6.6,89.0,61.0,2018,0.249,3.4713,2020
