countryCode,datapoints,kstest,ks_pvalue,spearman,spearman_pvalue,best_spearman,best_pvalue,best_shift,alpha_3,Country,educational_attainment,life_satisfaction,support_network_quality,self_reported_health,GINI_year,GINI,internet_for_health_percent,internet_for_health_year
au,209,0.8838175660832024,1.0513864214226707e-195,-0.05376997394358416,0.4393797325030252,-0.0019079259495009228,0.979157299961293,-19,AUS,Australia,80.0,7.3,94.0,85.0,2018,0.325,19.71,2016
at,209,1.0,0.0,0.6534202326919973,7.90295942826217e-27,0.7001840737110662,4.350373597992605e-31,7,AUT,Austria,85.0,7.0,92.0,70.0,2018,0.28,16.0251,2020
be,209,0.6183981934106725,1.5775787787203453e-77,0.40084800972194795,1.8061249851913808e-09,0.43440752285945927,1.7952805360964375e-10,12,BEL,Belgium,75.0,6.9,92.0,75.0,2018,0.258,19.14,2020
ca,209,0.9521214388060137,2.821750081342723e-276,0.2797830737086318,4.082585775149514e-05,0.32876877881138034,1.2442658098105399e-06,-1,CAN,Canada,91.0,7.3,93.0,88.0,2019,0.301,37.18,2020
ch,209,0.8193551312097156,2.1230461804199875e-154,0.21482836084737236,0.001786144875039589,0.27279104506903457,0.0001052096358738244,12,CHE,Switzerland,87.0,7.5,94.0,80.0,2017,0.299,46.1,2019
cz,209,0.7976931641693268,2.2949489721298926e-143,0.6442910614085647,6.661504440220535e-26,0.7244732297214105,1.4156080983268006e-30,29,CZE,Czech Republic,93.0,6.6,89.0,61.0,2018,0.249,3.4713,2020
de,209,1.0,0.0,0.733418512817751,1.5004441292529815e-36,0.733418512817751,1.5004441292529815e-36,0,DEU,Germany,86.0,7.0,92.0,65.0,2018,0.289,34.2261,2020
es,209,0.7523694852767011,4.3206477586308455e-123,0.18115323334911385,0.008666186560627242,0.27920263255917216,7.092531437951042e-05,-12,ESP,Spain,58.0,6.4,95.0,72.0,2018,0.33,12.751,2020
fr,209,0.9389723560900983,2.993291191897027e-254,0.5845952783964953,1.4996948859416856e-20,0.6417092468496751,3.5061089600089545e-25,-4,FRA,France,78.0,6.4,88.0,68.0,2018,0.301,12.9683,2019
gr,209,0.9999999999999993,0.0,0.8346932599236142,1.5591766278307362e-55,0.8523745645677077,8.773821682610949e-59,5,GRC,Greece,72.0,5.2,82.0,74.0,2018,0.306,2.1608,2020
hu,209,0.9747266569922933,0.0,0.4804831346805627,1.80470237715744e-13,0.5190730887717926,1.808577464312104e-15,5,HUN,Hungary,83.0,5.3,84.0,56.0,2017,0.289,9.6088,2020
ie,209,0.5896900594393806,9.493310650885e-70,0.010748990575947363,0.8772400750785332,0.10271690107876968,0.15517678932244075,-16,IRL,Ireland,80.0,7.0,96.0,82.0,2018,0.292,10.4775,2020
it,209,0.9795113459875087,0.0,0.46128173094972197,2.0796374666881826e-12,0.509766194041282,2.3300539436110783e-14,13,ITA,Italy,60.0,5.9,91.0,66.0,2018,0.33,8.7271,2020
nl,209,0.781077619247993,1.5377861141645185e-135,0.3133958154821975,3.8287127205196164e-06,0.3669490578415987,3.4841770223724347e-07,27,NLD,Netherlands,77.0,7.4,90.0,76.0,2016,0.285,40.7242,2020
se,209,0.9747266569922933,0.0,-0.014294883738853396,0.8372363227245757,0.15676294586907025,0.034569907865645386,-27,SWE,Sweden,83.0,7.3,92.0,80.0,2019,0.28,23.2107,2020
tr,209,0.831185987135834,6.765472628429285e-161,0.13419891458463257,0.05271753356589566,0.4042212108399342,1.1556934996077476e-08,-24,TUR,Turkey,39.0,5.5,86.0,66.0,2018,0.397,3.1177,2020
us,209,1.0,0.0,-0.18718630661415905,0.006649187227010288,-0.14973350313744538,0.03668391577792745,-14,USA,United States,90.0,6.9,90.0,88.0,2017,0.39,7.57,2015
gb,209,1.0,0.0,0.4878657554654353,6.765275111905851e-14,0.5138134747132864,4.510123038419791e-15,6,GBR,United Kingdom,81.0,6.7,93.0,70.0,2019,0.366,25.4574,2020
